Market	Symbol	Description
XTSE	BYD.UN	Boyd Group Income Fund
XTSE	BZA	American Bonanza Gold Corp.
XTSE	CAB	Claymore Adv Canadian Bond ETF
XTSE	CAB.A	Claymore Adv Cdn Bond ETF Advisor
XTSE	CAE	Cae Inc
XTSE	CAG.UN	Coxe Global Agribusiness Income Fund
XTSE	CAH.UN	Canadian High Yield Focus Fund
XTSE	CAL	Caledonia Mng
XTSE	CAM	Canam Group Inc.
XTSE	CAM.DB	Canam Group Inc 6.25 Pct Convertible Dbs
XTSE	CAR.UN	Cdn Apartment Un
XTSE	CAS	Cascades Inc
XTSE	CAX	Candax Energy Inc.
XTSE	CAZ	Caza Oil
XTSE	CBB.UN	Copernican British Banks Fund
XTSE	CBD	Claymore Balanced Income Core ETF
XTSE	CBD.A	Claymore Balanced Income Core ETF Adv
XTSE	CBF	Canbanc 8 Income Corp
XTSE	CBH	Claymore 1-10 Yr Laddered Corp Bond ETF
XTSE	CBH.A	Claymore 1-10 Yr Ladder Corp Bond ETF A
XTSE	CBN	Claymore Balanced Growth Core ETF
XTSE	CBN.A	Claymore Balanced Growth Core ETF Adv
XTSE	CBO	Claymore 1-5Yr Laddered Corp. Bond ETF
XTSE	CBO.A	Claymore 1-5Yr Ladder Corp. Bd ETF Cl A
XTSE	CBQ	Claymore BRIC ETF
XTSE	CBQ.A	Claymore BRIC ETF
XTSE	CBR	Claymore Broad Commodity ETF
XTSE	CBR.A	Claymore Broad Commodity ETF Adv Cl
XTSE	CBU	First Asset Canbanc Cl. A
XTSE	CBU.PR.A	First Asset Canbanc Prf A
XTSE	CBW	Copernican World Banks Split Inc. Cl.A
XTSE	CBW.PR.A	Copernican World Banks Split Inc. Prf A
XTSE	CBY	Canada Bread
XTSE	CCA	Cogeco Cable Inc. Sv
XTSE	CCI.UN	Canadian Convertibles Plus Fund
XTSE	CCL.A	Ccl Industries Inc 'A'Com Npv
XTSE	CCL.B	Ccl Industries Inc. Cl. B Nv
XTSE	CCM	Canarc Res J
XTSE	CCO	Cameco Corp
XTSE	CCS.PR.C	Co-Operators Gen Ins Cl E Prf
XTSE	CCS.PR.D	Co-Operators Gen Ins Cl E Prf Series D
XTSE	CCT	Catamaran
XTSE	CCV	Counterpath Corporation
XTSE	CCZ	Criticalcontrol Solutions Corp.
XTSE	CDD.UN	Core Canadian Dividend Trust
XTSE	CDG	Candente Gold Corp
XTSE	CDH	Corridor Resources Inc.
XTSE	CDI	Canelson Drilling Inc
XTSE	CDL.A	Corby Distill
XTSE	CDL.B	Corby Distilleries Ltd. Cl B. Nv
XTSE	CDM	Coeur D Alene Mines Corp.
XTSE	CDU	Cardero Resource Corp.
XTSE	CDV	Com Dev Intl
XTSE	CDW.UN	Canadian Wireless Trust
XTSE	CDZ	Claymore Sp TSX Cdn Dividend ETF
XTSE	CDZ.A	Claymore Sp TSX Cdn Dividend ETF
XTSE	CEE	Centamin Egypt Limited
XTSE	CEF.A	Central Fund Of Canada Ltd. Cl.A Nv
XTSE	CEF.U	Central Fund Of Canada Ltd. Cl. A Nv
XTSE	CEG	Cerro Grande Mining Corporation
XTSE	CEK	Caspian Energy Inc.
XTSE	CEN	Coastal Energy Company
XTSE	CET	Cathedral Energy Services Ltd.
XTSE	CEU	Canadian Energy Svcs And Tech Corp
XTSE	CEW	Claymore Equal Weight Banc & Lifco ETF
XTSE	CEW.A	Claymore Equal Weight Banc & Lifeco Trs
XTSE	CEZ	Calmena Energy Services Inc.
XTSE	CF	Canaccord Financial Inc.
XTSE	CF.PR.A	Canaccord Financial Inc. Pref A
XTSE	CF.PR.C	Canaccord Financial Inc Pr Sh Series C
XTSE	CFB	Chieftain Metals Inc  Com
XTSE	CFN	Carfinco Financial Group Inc
XTSE	CFP	Canfor Corp
XTSE	CFW	Calfrac Well Services Ltd.
XTSE	CFX	Canfor Pulp Products Inc.
XTSE	CG	Centerra Gold Inc.
XTSE	CGA	Cga Mining Limited
XTSE	CGG	China Gold Int Resources Corp.
XTSE	CGI	Cdn General Inv
XTSE	CGI.PR.B	Canadian General Inv Ltd Series 2
XTSE	CGI.PR.C	Canadian General Inv. Ltd 3.9% Pr Ser3
XTSE	CGJ	Carlisle Goldfields Limited
XTSE	CGL	Claymore Gold Bullion ETF
XTSE	CGL.C	Claymore Gold Bullion ETF Non-Hedged
XTSE	CGO	Cogeco Inc. Sv
XTSE	CGQ	Capital Gains Yld
XTSE	CGQ.E	Capital Gains Eq
XTSE	CGR	Claymore Global Real Estate ETF
XTSE	CGR.A	Claymore Global Real Estate ETF Cl A
XTSE	CGX	Cineplex Inc.
XTSE	CHB	Claymore Advantaged HY Bond ETF
XTSE	CHB.A	Claymore Advantaged HY Bond ETF Adv Cl
XTSE	CHE.DB	Chemtrade Logistics Income Fund 6.0 Debs
XTSE	CHE.DB.A	Chemtrade Logistics If 5.75 Pct Debs
XTSE	CHE.UN	Chemtrade Logistics Income Fund
XTSE	CHH	Centric Health Corporation
XTSE	CHH.NT	Centric Health Corp 6.75 Pct De
XTSE	CHI	Claymore China ETF
XTSE	CHI.A	Ishares China All Cap Index Fd
XTSE	CHM	Champion Minerals Inc
XTSE	CHR.A	Chorus Aviation Inc Cl A
XTSE	CHR.B	Chorus Aviation Inc Cl B
XTSE	CHR.DB	Chorus Aviation Inc Debs
XTSE	CHW	Chesswood Group Limited
XTSE	CIC	Canbanc Income Corp
XTSE	CIE	Ishares Intl Fundamental Index Fund
XTSE	CIE.A	Ishares Intl Fundamental Index Fund AC
XTSE	CIF	Claymore Global Infrastructure ETF
XTSE	CIF.A	Claymore Global Adv Cl
XTSE	CIP.UN	Ci Master Limited Partnership
XTSE	CIQ.UN	Canadian High Income Equity Fund
XTSE	CIR	Copernican Intl. Fin Split Corp Class A
XTSE	CIR.PR.A	Copernican Intl. Fin Split Corp Pref Sh
XTSE	CIU.PR.A	Cu Inc. Preferred Shares
XTSE	CIU.PR.B	Cu Inc. Cum. Redeem. Pref. Sh. Series 2
XTSE	CIU.PR.C	Cu Inc Preferred Series 4
XTSE	CIW.UN	Copernican Wld Fin Trust Units
XTSE	CIX	Ci Financial Corp.
XTSE	CJP	Claymore Japan Fund Idx ETF C$ Hedged
XTSE	CJP.A	Ishares Japan Fund Idx CAD Hedg
XTSE	CJR.B	Corus Entertainment Inc. Cl.B Nv
XTSE	CJT	Cargojet Inc.
XTSE	CJT.A	Cargojet Inc. Variable Voting Shs
XTSE	CJT.DB.A	Cargojet Inc 6.5 Pct Debs
XTSE	CKE	Chinook Energy Inc.
XTSE	CKI	Clarke Inc
XTSE	CKI.DB.A	Clarke Inc. 6.0% Debs
XTSE	CLC	Cml Healthcare Inc.
XTSE	CLF	Claymore 1-5 Yr Ladder Gov T Bond ETF
XTSE	CLF.A	Claymore 1-5 Yr Ladder Gov T Bond ETF A
XTSE	CLG	Claymore 1-10 Yr Ladder Govt Bond ETF
XTSE	CLG.A	Ishares 1-10 Yr Ladder Govt Bon
XTSE	CLK	Clublink Enterprises Limited
XTSE	CLL	Connacher Oil
XTSE	CLO	Ishares Oil Sands Idx Fd
XTSE	CLO.A	Ishares Oil Sands Idx Fd AC
XTSE	CLQ	Canada Lithium Corp
XTSE	CLR	Clearwater Seafoods Incorporated
