Market	Symbol	Description
XNAS	BRCD	Brocade Communications Systems
XNAS	BRCM	Broadcom Corp.
XNAS	BREW	Craft Brewers Alliance Inc
XNAS	BRID	Bridgford Foods Corp.
XNAS	BRKL	Brookline Bancorp
XNAS	BRKR	Bruker Corp.
XNAS	BRKS	Brooks Automation
XNAS	BRLI	Bio-Reference Laboratories
XNAS	BSDM	Bsd Medical Corp.
XNAS	BSET	Bassett Furniture Industries Inc.
XNAS	BSFT	Broadsoft
XNAS	BSPM	Biostar Pharmaceuticals
XNAS	BSQR	Bsquare Corp.
XNAS	BSRR	Sierra Bancorp
XNAS	BSTC	Biospecifics Technologies Corp
XNAS	BTFG	Banctrust Financial Group
XNAS	BTUI	Btu International
XNAS	BUR	Burcon Nutrascience
XNAS	BUSE	First Busey Corp.
XNAS	BV	Bazaarvoice Inc.
XNAS	BVSN	Broadvision
XNAS	BWEN	Broadwind Energy
XNAS	BWINA	Baldwin & Lyons
XNAS	BWINB	Baldwin & Lyons
XNAS	BWLD	Buffalo Wild Wings
XNAS	BYFC	Broadway Financial Corp.
XNAS	CA	CA Inc.
XNAS	CAAS	China Automotive Systems
XNAS	CAC	Camden National Corp.
XNAS	CACB	Cascade Bancorp
XNAS	CACC	Credit Acceptance Corp.
XNAS	CACGU	Chart Acquisition Corp.
XNAS	CACH	Cache
XNAS	CADC	China Advanced Construction
XNAS	CADX	Cadence Pharmaceuticals
XNAS	CAFI	Camco Financial Corp.
XNAS	CAKE	The Cheesecake Factory Inc.
XNAS	CALD	Callidus Software
XNAS	CALI	China Auto Logistics Inc.
XNAS	CALL	Vocaltec Communications Ltd
XNAS	CALM	Cal-Maine Foods
XNAS	CAMP	Calamp
XNAS	CAMT	Camtek Ltd
XNAS	CAR	Avis Budget Group
XNAS	CARB	Carbonite Inc.
XNAS	CART	Carolina Trust Bank
XNAS	CARV	Carver Bancorp
XNAS	CARZ	Nasdaq Global Auto Index First Trust
XNAS	CASH	Meta Financial Group
XNAS	CASM	Cas Medical Systems
XNAS	CASS	Cass Information Systems Inc
XNAS	CASY	Caseys General Stores
XNAS	CATM	Cardtronics
XNAS	CATY	Cathay General Bancorp
XNAS	CAVM	Cavium Inc
XNAS	CBAK	China Bak Battery
XNAS	CBAN	Colony Bankcorp
XNAS	CBEY	Cbeyond
XNAS	CBF	Capital Bank Financial Corp.
XNAS	CBIN	Community Bank Shares Of Indiana
XNAS	CBLI	Cleveland Biolabs
XNAS	CBMX	Combimatrix Corp.
XNAS	CBMXW	Combimatrix Corp.
XNAS	CBNJ	Cape Bancorp
XNAS	CBNK	Chicopee Bancorp
XNAS	CBOE	CBOE Holdings
XNAS	CBOU	Caribou Coffee Company
XNAS	CBPO	China Biologic Products
XNAS	CBRL	Cracker Barrel Old Country Store
XNAS	CBRX	Columbia Laboratories
XNAS	CBSH	Commerce Bancshares
XNAS	CBST	Cubist Pharmaceuticals
XNAS	CCBG	Capital City Bank Group
XNAS	CCCL	China Ceramics Co.
XNAS	CCIH	Chinacache International
XNAS	CCIX	Coleman Cable
XNAS	CCMP	Cabot Microelectronics Corp.
XNAS	CCNE	Cnb Financial Corp.
XNAS	CCOI	Cogent Communications Group
XNAS	CCRN	Cross Country Healthcare
XNAS	CCUR	Concurrent Computer Corp.
XNAS	CCXI	Chemocentryx Inc.
XNAS	CDNS	Cadence Design Systems
XNAS	CDTI	Clean Diesel Technologies
XNAS	CDXS	Codexis
XNAS	CDZI	Cadiz
XNAS	CECE	Ceco Environmental
XNAS	CECO	Career Education Corp.
XNAS	CEDC	Central European Distribution Corp.
XNAS	CEDU	Chinaedu Corp.
XNAS	CELG	Celgene Corp.
XNAS	CELGZ	Celgene Corp.
XNAS	CEMI	Chembio Diagnostics
XNAS	CEMP	Cempra Inc.
XNAS	CENT	Central Garden & Pet Company
XNAS	CENTA	Central Garden & Pet Company
XNAS	CENX	Century Aluminum Company
XNAS	CERE	Ceres Inc.
XNAS	CERN	Cerner Corp.
XNAS	CERS	Cerus Corp.
XNAS	CETV	Central European Media Enterprises
XNAS	CEVA	Ceva
XNAS	CFBK	Central Federal Corp.
XNAS	CFFC	Community Financial
XNAS	CFFI	C&F Financial Corp.
XNAS	CFFN	Capitol Federal Financial
XNAS	CFNB	California First National Bancorp
XNAS	CFNL	Cardinal Financial Corp.
XNAS	CG	The Carlyle Group L.P.
XNAS	CGEI	China Growth Equity Investment
XNAS	CGEIU	China Growth Equity Investment Ltd. - Units
XNAS	CGEIW	China Growth Equity Investment
XNAS	CGEN	Compugen Ltd
XNAS	CGNX	Cognex Corp.
XNAS	CGO	Calamos Global Total Return Fund
XNAS	CHCI	Comstock Homebuilding Companies
XNAS	CHCO	City Holding Company
XNAS	CHDN	Churchill Downs Inc.
XNAS	CHDX	Chindex International
XNAS	CHEF	The Chefs' Warehouse Inc.
XNAS	CHEV	Cheviot Financial Corp
XNAS	CHFC	Chemical Financial Corp.
XNAS	CHFN	Charter Financial
XNAS	CHI	Calamos Convertible Opportunities
XNAS	CHKE	Cherokee Inc.
XNAS	CHKP	Check Point Software Technologies Ltd
XNAS	CHLN	China Housing & Land Development
XNAS	CHMG	Chemung Financial Corp
XNAS	CHNR	China Natural Resources
XNAS	CHOP	China Gerui Advanced Materials
XNAS	CHRM	Charm Communications Inc.
XNAS	CHRW	C.H. Robinson Worldwide
XNAS	CHSCP	Chs Inc
XNAS	CHTP	Chelsea Therapeutics International
XNAS	CHTR	Charter Communications
XNAS	CHUY	Chuy's Holding Inc
XNAS	CHW	Calamos Global Dynamic
XNAS	CHXF	Wisdomtree China Dividend Ex-Fi
XNAS	CHY	Calamos Convertible And High
XNAS	CHYR	Chyron Corp.
XNAS	CIDM	Cinedigm Digital Cinema Corp
XNAS	CIEN	Ciena Corp.
XNAS	CIMT	Cimatron Limited
XNAS	CINF	Cincinnati Financial Corp.
XNAS	CISAU	Cis Acquisition Ltd.
XNAS	CISG	Cninsure Inc.
XNAS	CITZ	Cfs Bancorp
XNAS	CIZN	Citizens Holding Company
